[09: 05: 32] [ip]: ::1 - [method]: GET [url]: /api/v1/show/show_user HTTP/1.1 [status]: 200 [response-time]: 56.834 ms [client]: PostmanRuntime/7.15.0
[09: 05: 32] [ip]: ::1 - [method]: GET [url]: /api/v1/show HTTP/1.1 [status]: 200 [response-time]: 5.370 ms [client]: PostmanRuntime/7.15.0
[09: 52: 45] [ip]: ::ffff:192.168.1.31 - [method]: GET [url]: /api/v1/%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%A0%E0%B8%B2%E0%B8%9E HTTP/1.1 [status]: 404 [response-time]: 0.120 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
[09: 52: 45] [ip]: ::ffff:192.168.1.31 - [method]: GET [url]: /api/v1/product/image/product_11.png HTTP/1.1 [status]: 304 [response-time]: 3.479 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
[09: 52: 45] [ip]: ::ffff:192.168.1.31 - [method]: GET [url]: /api/v1/product/image/product_13.png HTTP/1.1 [status]: 304 [response-time]: 9.139 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
[09: 52: 45] [ip]: ::ffff:192.168.1.31 - [method]: GET [url]: /api/v1/image/product_9.png HTTP/1.1 [status]: 404 [response-time]: 0.144 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
[10: 14: 36] [ip]: ::1 - [method]: GET [url]: /api/v1/show/show_user HTTP/1.1 [status]: 200 [response-time]: 7.441 ms [client]: PostmanRuntime/7.15.0
[10: 14: 36] [ip]: ::1 - [method]: GET [url]: /api/v1/show/ HTTP/1.1 [status]: 200 [response-time]: 2.559 ms [client]: PostmanRuntime/7.15.0
[10: 14: 36] [ip]: ::1 - [method]: GET [url]: /api/v1/show/ HTTP/1.1 [status]: 200 [response-time]: 4.698 ms [client]: PostmanRuntime/7.15.0
[10: 14: 36] [ip]: ::ffff:192.168.1.20 - [method]: GET [url]: /api/v1/show HTTP/1.1 [status]: 200 [response-time]: 1.036 ms [client]: PostmanRuntime/7.15.0
[10: 14: 36] [ip]: ::ffff:192.168.1.20 - [method]: GET [url]: /api/v1/show HTTP/1.1 [status]: 200 [response-time]: 0.909 ms [client]: PostmanRuntime/7.15.0
[10: 40: 11] [ip]: ::1 - [method]: GET [url]: /api/v1/show/ HTTP/1.1 [status]: 200 [response-time]: 5.986 ms [client]: PostmanRuntime/7.15.0
[10: 40: 41] [ip]: ::1 - [method]: GET [url]: /api/v1/show/ HTTP/1.1 [status]: 200 [response-time]: 6.411 ms [client]: PostmanRuntime/7.15.0
